2024-12-13 03:08:25,387 | INFO | embeddings | Initialized sentence-transformers/all-MiniLM-L6-v2 on cpu (torch dtype: cpu)
2024-12-13 03:08:30,016 | INFO | logging | Request b2630352-1308-4c4f-b339-2e639df7f1e9 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:08:30,016 | INFO | logging | Request b2630352-1308-4c4f-b339-2e639df7f1e9 completed: GET /api/v1/health - Status: 200 - Took: 0.86ms
2024-12-13 03:08:30,017 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.59ms
2024-12-13 03:08:30,495 | INFO | logging | Request 899ad79c-f2e0-4bcb-afb3-a4bd7340c888 started: POST /api/v1/chat - Client: 172.19.0.6
2024-12-13 03:08:35,044 | INFO | logging | Request 448d6e5d-e042-4e0a-b992-4e6e620c04c4 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:08:35,045 | INFO | logging | Request 448d6e5d-e042-4e0a-b992-4e6e620c04c4 completed: GET /api/v1/health - Status: 200 - Took: 0.90ms
2024-12-13 03:08:35,046 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.32ms
2024-12-13 03:08:40,080 | INFO | logging | Request c3612b68-348a-40a2-be54-f8a0e3d7d55d started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:08:40,081 | INFO | logging | Request c3612b68-348a-40a2-be54-f8a0e3d7d55d completed: GET /api/v1/health - Status: 200 - Took: 0.54ms
2024-12-13 03:08:40,081 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.79ms
2024-12-13 03:08:45,120 | INFO | logging | Request f679b039-5c09-4b5d-8328-7fe206259c95 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:08:45,121 | INFO | logging | Request f679b039-5c09-4b5d-8328-7fe206259c95 completed: GET /api/v1/health - Status: 200 - Took: 0.74ms
2024-12-13 03:08:45,121 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.24ms
2024-12-13 03:08:47,553 | INFO | store | Initialized VectorStore with model: all-MiniLM-L6-v2
2024-12-13 03:08:47,556 | INFO | chat | Calling VectorStore.similarity_search
2024-12-13 03:08:47,556 | INFO | store | Running similarity search for query='¿Quiénes son considerados los pioneros o la "mafia canadiense" en el resurgimiento de las redes neuronales?' with filter_conditions={}
2024-12-13 03:08:48,112 | INFO | store | Found 3 relevant chunks with threshold 0
2024-12-13 03:08:50,145 | INFO | logging | Request 4da06b18-a597-4f64-aeaa-64826fcb84bb started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:08:50,146 | INFO | logging | Request 4da06b18-a597-4f64-aeaa-64826fcb84bb completed: GET /api/v1/health - Status: 200 - Took: 0.63ms
2024-12-13 03:08:50,146 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.18ms
2024-12-13 03:08:52,503 | INFO | chat | Generated response with 3 chunks for query: ¿Quiénes son considerados los pioneros o la "mafia...
2024-12-13 03:08:52,504 | INFO | logging | Request 899ad79c-f2e0-4bcb-afb3-a4bd7340c888 completed: POST /api/v1/chat - Status: 200 - Took: 22009.84ms
2024-12-13 03:08:52,505 | DEBUG | timing | Request processed: POST /api/v1/chat - Took: 22010.44ms
2024-12-13 03:08:55,185 | INFO | logging | Request 74f6508b-215f-4992-967b-0e0dfb14b43a started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:08:55,186 | INFO | logging | Request 74f6508b-215f-4992-967b-0e0dfb14b43a completed: GET /api/v1/health - Status: 200 - Took: 0.48ms
2024-12-13 03:08:55,186 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.86ms
2024-12-13 03:09:00,238 | INFO | logging | Request de4f750e-e1ea-4276-a123-f79ddf569a85 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:00,239 | INFO | logging | Request de4f750e-e1ea-4276-a123-f79ddf569a85 completed: GET /api/v1/health - Status: 200 - Took: 1.38ms
2024-12-13 03:09:00,240 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 2.42ms
2024-12-13 03:09:05,265 | INFO | logging | Request ae904d7b-5383-4efb-b45e-bd7f07b57e00 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:05,265 | INFO | logging | Request ae904d7b-5383-4efb-b45e-bd7f07b57e00 completed: GET /api/v1/health - Status: 200 - Took: 0.58ms
2024-12-13 03:09:05,266 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.97ms
2024-12-13 03:09:10,290 | INFO | logging | Request 7d5ff7e8-2c8a-4757-b583-963a7a648515 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:10,290 | INFO | logging | Request 7d5ff7e8-2c8a-4757-b583-963a7a648515 completed: GET /api/v1/health - Status: 200 - Took: 0.58ms
2024-12-13 03:09:10,290 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.84ms
2024-12-13 03:09:15,350 | INFO | logging | Request 8a61015e-2427-494a-bbaa-606e4511f869 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:15,351 | INFO | logging | Request 8a61015e-2427-494a-bbaa-606e4511f869 completed: GET /api/v1/health - Status: 200 - Took: 0.56ms
2024-12-13 03:09:15,351 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.84ms
2024-12-13 03:09:20,383 | INFO | logging | Request 9ca01376-99be-4b68-b0fd-1f3c5899ff4d started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:20,384 | INFO | logging | Request 9ca01376-99be-4b68-b0fd-1f3c5899ff4d completed: GET /api/v1/health - Status: 200 - Took: 0.78ms
2024-12-13 03:09:20,384 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.17ms
2024-12-13 03:09:25,424 | INFO | logging | Request fea520a3-f02e-4725-a361-da8fcc218fd3 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:25,425 | INFO | logging | Request fea520a3-f02e-4725-a361-da8fcc218fd3 completed: GET /api/v1/health - Status: 200 - Took: 0.65ms
2024-12-13 03:09:25,425 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.03ms
2024-12-13 03:09:30,449 | INFO | logging | Request 259e188e-7268-4646-b4f3-37ae3c65e2d7 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:30,449 | INFO | logging | Request 259e188e-7268-4646-b4f3-37ae3c65e2d7 completed: GET /api/v1/health - Status: 200 - Took: 0.46ms
2024-12-13 03:09:30,449 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.75ms
2024-12-13 03:09:35,478 | INFO | logging | Request 030051a4-52a1-4808-af75-9cc5a0c635a5 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:35,479 | INFO | logging | Request 030051a4-52a1-4808-af75-9cc5a0c635a5 completed: GET /api/v1/health - Status: 200 - Took: 0.69ms
2024-12-13 03:09:35,479 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.09ms
2024-12-13 03:09:40,521 | INFO | logging | Request 2d582345-e23b-4080-8111-5a0b00ae0c1d started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:40,522 | INFO | logging | Request 2d582345-e23b-4080-8111-5a0b00ae0c1d completed: GET /api/v1/health - Status: 200 - Took: 0.77ms
2024-12-13 03:09:40,522 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.29ms
2024-12-13 03:09:45,550 | INFO | logging | Request bcf7af09-9a24-4d94-95a3-39122e7d58ac started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:45,551 | INFO | logging | Request bcf7af09-9a24-4d94-95a3-39122e7d58ac completed: GET /api/v1/health - Status: 200 - Took: 0.77ms
2024-12-13 03:09:45,551 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.41ms
2024-12-13 03:09:50,580 | INFO | logging | Request 52e893ab-3ce3-483e-bfe3-a57517f7178b started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:50,581 | INFO | logging | Request 52e893ab-3ce3-483e-bfe3-a57517f7178b completed: GET /api/v1/health - Status: 200 - Took: 0.49ms
2024-12-13 03:09:50,581 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.00ms
2024-12-13 03:09:55,618 | INFO | logging | Request 1b63f0b0-1e4d-434f-94c8-19a7b065a026 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:09:55,618 | INFO | logging | Request 1b63f0b0-1e4d-434f-94c8-19a7b065a026 completed: GET /api/v1/health - Status: 200 - Took: 0.55ms
2024-12-13 03:09:55,618 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.79ms
2024-12-13 03:10:00,649 | INFO | logging | Request c5ca0886-31e7-4964-a1d8-3eb8ad33c20e started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:00,650 | INFO | logging | Request c5ca0886-31e7-4964-a1d8-3eb8ad33c20e completed: GET /api/v1/health - Status: 200 - Took: 0.74ms
2024-12-13 03:10:00,650 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.19ms
2024-12-13 03:10:05,702 | INFO | logging | Request 80d9bcb6-ba6d-430f-bce8-f983775d6ee0 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:05,703 | INFO | logging | Request 80d9bcb6-ba6d-430f-bce8-f983775d6ee0 completed: GET /api/v1/health - Status: 200 - Took: 1.67ms
2024-12-13 03:10:05,705 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 3.25ms
2024-12-13 03:10:10,737 | INFO | logging | Request c14ba7f5-4708-4dcb-b3de-c7771e9bad0b started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:10,738 | INFO | logging | Request c14ba7f5-4708-4dcb-b3de-c7771e9bad0b completed: GET /api/v1/health - Status: 200 - Took: 0.62ms
2024-12-13 03:10:10,738 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.98ms
2024-12-13 03:10:15,767 | INFO | logging | Request 158ba788-e442-4e44-b2bb-6eb17cb7ce87 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:15,768 | INFO | logging | Request 158ba788-e442-4e44-b2bb-6eb17cb7ce87 completed: GET /api/v1/health - Status: 200 - Took: 0.53ms
2024-12-13 03:10:15,768 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.83ms
2024-12-13 03:10:20,793 | INFO | logging | Request 2685d3db-1838-4248-99a3-2f07857aac10 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:20,794 | INFO | logging | Request 2685d3db-1838-4248-99a3-2f07857aac10 completed: GET /api/v1/health - Status: 200 - Took: 0.45ms
2024-12-13 03:10:20,794 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.84ms
2024-12-13 03:10:25,833 | INFO | logging | Request a0c83ab4-20fb-4aac-a133-b25538c013d3 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:25,833 | INFO | logging | Request a0c83ab4-20fb-4aac-a133-b25538c013d3 completed: GET /api/v1/health - Status: 200 - Took: 0.63ms
2024-12-13 03:10:25,834 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.12ms
2024-12-13 03:10:30,861 | INFO | logging | Request b3a45df6-fcf0-49ee-9390-fa6cb00c781a started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:30,862 | INFO | logging | Request b3a45df6-fcf0-49ee-9390-fa6cb00c781a completed: GET /api/v1/health - Status: 200 - Took: 0.75ms
2024-12-13 03:10:30,862 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.27ms
2024-12-13 03:10:35,892 | INFO | logging | Request 499b5e74-124c-4a3a-8e58-515507b2f870 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:35,893 | INFO | logging | Request 499b5e74-124c-4a3a-8e58-515507b2f870 completed: GET /api/v1/health - Status: 200 - Took: 0.72ms
2024-12-13 03:10:35,893 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.10ms
2024-12-13 03:10:40,930 | INFO | logging | Request 0c9d5b2c-574f-40ba-bb29-0ba4f7736892 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:40,932 | INFO | logging | Request 0c9d5b2c-574f-40ba-bb29-0ba4f7736892 completed: GET /api/v1/health - Status: 200 - Took: 2.12ms
2024-12-13 03:10:40,932 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 2.67ms
2024-12-13 03:10:45,966 | INFO | logging | Request 6411f382-5eb6-406c-abbc-df27c91f3266 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:45,967 | INFO | logging | Request 6411f382-5eb6-406c-abbc-df27c91f3266 completed: GET /api/v1/health - Status: 200 - Took: 0.86ms
2024-12-13 03:10:45,967 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.55ms
2024-12-13 03:10:50,995 | INFO | logging | Request 21ea9479-c48e-44b3-a02c-b4aba1b12be1 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:50,996 | INFO | logging | Request 21ea9479-c48e-44b3-a02c-b4aba1b12be1 completed: GET /api/v1/health - Status: 200 - Took: 0.68ms
2024-12-13 03:10:50,996 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.23ms
2024-12-13 03:10:56,032 | INFO | logging | Request 10a3eb8c-6886-4fc2-9ec4-aecaec1704d1 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:10:56,033 | INFO | logging | Request 10a3eb8c-6886-4fc2-9ec4-aecaec1704d1 completed: GET /api/v1/health - Status: 200 - Took: 0.79ms
2024-12-13 03:10:56,034 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.25ms
2024-12-13 03:11:01,064 | INFO | logging | Request 5f451f1b-a934-4913-b9e0-b8a11bc0cc74 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:11:01,064 | INFO | logging | Request 5f451f1b-a934-4913-b9e0-b8a11bc0cc74 completed: GET /api/v1/health - Status: 200 - Took: 0.49ms
2024-12-13 03:11:01,065 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 0.88ms
2024-12-13 03:11:06,095 | INFO | logging | Request 5a41b0f9-ada0-4211-9207-2b0dbe8d1ba8 started: GET /api/v1/health - Client: 127.0.0.1
2024-12-13 03:11:06,095 | INFO | logging | Request 5a41b0f9-ada0-4211-9207-2b0dbe8d1ba8 completed: GET /api/v1/health - Status: 200 - Took: 0.76ms
2024-12-13 03:11:06,096 | DEBUG | timing | Request processed: GET /api/v1/health - Took: 1.25ms
